"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000142611",428.122662582851,2.4074384773373,0.164465004927419,1.10386966696778e-49,4.24128803442359e-46
"ENSG00000157911",904.123074683994,-0.254802149104257,0.0915763862890485,0.00310202715281836,0.0250180703748084
"ENSG00000142655",616.270218909339,-0.300097359401465,0.157453862438836,0.0236442729512864,0.112377567458477
"ENSG00000149527",11.1072751630185,-0.054916797308084,0.267773872235087,0.496336968512837,0.73990296439048
"ENSG00000171621",276.949375065308,0.309736045102588,0.201031282034882,0.0441032858179739,0.171755163966977
"ENSG00000287727",2.62864243345398,-0.0315330299609525,0.271562907917495,0.528471813972734,NA
"ENSG00000173614",113.778402691589,-0.691216850779159,0.220525957187853,0.000191335854330461,0.00276331113323949
"ENSG00000215720",1.28949273106661,0.037139635647047,0.276726548737866,0.14619372132753,NA
"ENSG00000233623",1.73513902826577,0.0306311528242802,0.273944758194569,0.357326681803244,NA
"ENSG00000204624",19.1748972198071,-0.049300102200738,0.240505948633631,0.681150846686182,0.855083981640706
"ENSG00000142606",12.2366783561807,0.433326053679267,0.686183524247166,0.0250028845327142,0.116558685398613
"ENSG00000225931",14.2260099238865,0.0505503518257453,0.262663237929953,0.578013765254176,0.79366896178243
"ENSG00000171729",641.473018617914,0.185393656224622,0.201179308043663,0.205088450820744,0.459309189638296
"ENSG00000157916",3368.48405468018,0.11825581960458,0.0775726160661723,0.111561320185552,0.318455352464285
"ENSG00000157881",1520.27427173123,-0.048538760668033,0.0937782414647245,0.585836439763428,0.798418263641829
"ENSG00000048707",897.077385796852,0.359811458580841,0.141831515001069,0.00389512920289466,0.0298600666866757
"ENSG00000162444",10.632773421712,-0.216744888819276,0.388871516184916,0.0319633252591153,0.138705091834846
"ENSG00000180758",513.955361591144,0.853274068703314,0.244894375474423,4.25504219997661e-05,0.00077067888644548
"ENSG00000184677",1361.52426547694,-0.0768500259754837,0.104592401162661,0.442811431468539,0.700094676153577
"ENSG00000131697",667.694397185935,-0.0260115427183217,0.153769546849722,0.840875415957179,0.935779996356867
"ENSG00000197921",1.51119798103088,0.0455474332150922,0.277696552232657,0.146570727579261,NA
"ENSG00000204138",2232.6113988931,0.0988579011853798,0.0980768083569999,0.281081680932603,0.549268657552257
"ENSG00000090020",770.885819507251,0.0879451338031623,0.133705711440676,0.45176356391828,0.706239566948141
"ENSG00000158006",519.922478513701,0.0807043329023772,0.122349051864367,0.461163843512033,0.713606008675768
"ENSG00000214812",0.989028771569844,-0.000773368376565937,0.272319071634041,0.978274019868128,NA
