"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000102135",3.52992879265611,0.527130916736361,0.791560229135391,0.182949146642418,0.304852380266733
"ENSMUSG00000100764",2.68435955432682,-1.05358218095521,1.46995748411927,0.0387159005748432,0.0872935552231496
"ENSMUSG00000100635",0.870455179056505,0.00836189408075863,0.717667940913194,0.975695890283001,NA
"ENSMUSG00000100480",6.7711467317391,-0.485119678891602,0.696747658048036,0.240260242499356,0.3744588545488
"ENSMUSG00000100025",12.2891578440256,0.283845167954408,0.5724990161835,0.464857318024909,0.60636481729184
"ENSMUSG00000051285",1580.47503176816,-0.0089450035212769,0.218129024442285,0.962082543342041,0.975511543729713
"ENSMUSG00000103509",22.7663574208709,-0.236418924530956,0.424090818862347,0.499793493751538,0.638343188336159
"ENSMUSG00000048538",26.3903866003864,0.0627899930978921,0.318739292756882,0.833229745436753,0.894157389890721
"ENSMUSG00000039748",410.987546831854,-1.69000385923094,0.563558936591852,0.000391092850645843,0.00160047228110453
"ENSMUSG00000104158",1.18500956680088,0.134189717859184,0.742989131825595,0.528056408285408,NA
"ENSMUSG00000057363",1745.29451884154,-0.31564561140641,0.117176756727532,0.00636339425974006,0.0187994330063514
"ENSMUSG00000090243",1.64954987201266,-0.17823478618943,0.716065798871627,0.52959482104421,0.663580321353708
"ENSMUSG00000100701",6.49909685945566,-0.0290777598968822,0.49598787458585,0.933012298202463,0.956825944777052
"ENSMUSG00000100555",2.13519515614314,0.150023129870667,0.691143222731983,0.619885254350718,0.73673823510695
"ENSMUSG00000038702",165.212824077659,-0.342340470345449,0.187062875958824,0.0573520446058318,0.1207576769956
"ENSMUSG00000101875",1.15773059098992,0.131953809663238,0.709365957343755,0.615233739971003,NA
"ENSMUSG00000078184",23.0733236901761,-0.529840243314813,0.389801692893918,0.113084728544114,0.209371144108019
"ENSMUSG00000033007",2.97655636570934,0.413741571124116,0.736758863654326,0.27022548808996,0.408908936899432
"ENSMUSG00000070695",11.8220038747751,-3.1796645614772,1.04523342055177,0.000364516272300674,0.0015049007752704
"ENSMUSG00000084353",6.28753913119554,-0.19201177790223,0.534395024770193,0.612879364078709,0.730933425468217
"ENSMUSG00000103933",31.5138061561914,1.07166701277671,0.367187608723732,0.00109150918383548,0.00398834532935467
"ENSMUSG00002075967",4.21602844616068,0.810538847054786,0.86307812090045,0.0870947039057223,0.169448024060258
"ENSMUSG00000101571",1.5704040899543,-0.241487158984136,0.755130285098266,0.35064749653367,0.494895996518137
"ENSMUSG00000061024",1357.04157628516,0.210250116643218,0.134806261732527,0.113120720231744,0.20941933001056
"ENSMUSG00000102030",4.98352218209233,-1.09339515460344,0.843811521419739,0.0410184658557222,0.0916395961611893
"ENSMUSG00000025911",32.6461247539835,-1.70915780695786,0.643787903803433,0.00118600142734295,0.00428371158373751
"ENSMUSG00000081441",1.56356791073951,-0.285137372185639,0.751665106240172,0.373096730787824,0.517098977758563
"ENSMUSG00000057335",4237.20677692587,-0.219376235468348,0.176427860392524,0.198388570525753,0.324453244284551
"ENSMUSG00000104154",1.80454068216889,-0.2870604721269,0.732066547694403,0.374278208915482,0.518394561175187
"ENSMUSG00000025912",229.90653227959,0.877112933219374,0.214893133673871,1.98406688797431e-05,0.000109173033736298
"ENSMUSG00000045210",2763.59082807424,0.215122557936103,0.177819389416023,0.214150495314594,0.343733463835997
"ENSMUSG00000041763",3969.41212093649,-0.727446849608494,0.1143514543448,1.18304422395305e-10,1.60805247879362e-09
"ENSMUSG00000026504",612.670221034394,-0.768699446846426,0.141242621910761,2.94346495114672e-08,2.76257134807491e-07
"ENSMUSG00000047343",1.46304179845302,-0.15823472020669,0.715356105210785,0.561646818800106,0.690564990361326
"ENSMUSG00000091844",6.42476986050987,-1.52301315484918,0.890293964824711,0.0106533167713276,0.0294099840557907
"ENSMUSG00000026483",6270.75254633016,-1.00390758842074,0.129607275094203,3.80208702162927e-15,9.815363227582e-14
"ENSMUSG00000019699",2696.06566501169,0.511059821419431,0.211706333214781,0.0116682451811594,0.0318230375388558
"ENSMUSG00000102133",1.1367507499563,0.137932429594373,0.743500313980973,0.480276815161207,NA
"ENSMUSG00000063659",3660.33228341911,-0.225833593947923,0.213236763252196,0.267729304957382,0.406412006233959
"ENSMUSG00000026049",695.890006208873,-0.0346576820961789,0.129136133982826,0.785056044182258,0.860078604475573
"ENSMUSG00000043019",1608.01239560165,-0.0418052971276028,0.209867208374334,0.831761728004779,0.893074141383923
"ENSMUSG00000015962",183.58548430856,-1.90624725262596,0.298391899778324,2.4401201853623e-11,3.64958616193619e-10
"ENSMUSG00000032666",2226.64174603542,0.262264453786387,0.18976370495305,0.153033136695942,0.265593621179987
"ENSMUSG00000015961",6106.80737700982,-0.801748355170507,0.108829787464936,9.54681835085682e-14,2.05972115836658e-12
"ENSMUSG00000014980",506.563092839749,0.292451714882159,0.156088914980647,0.0554767411278861,0.117606798701957
"ENSMUSG00000026235",3990.36862414605,-0.895945364624013,0.163207631135674,1.86852202427133e-08,1.82035798878247e-07
"ENSMUSG00000032649",3.66965364558975,-1.86588883877048,2.31485055998551,0.0178385112890999,0.0457033011739997
"ENSMUSG00000101849",19.525683328902,-1.2776989526863,0.804525517661383,0.0193648192167606,0.0490338969780705
"ENSMUSG00000026047",1209.59330094169,-0.91905917834282,0.129918067252601,6.44716409342589e-13,1.22940749781535e-11
"ENSMUSG00000091476",0.971956833041037,-0.196943049679181,0.781573980173831,0.302507523183977,NA
"ENSMUSG00000104097",1.45920584157198,-0.393182905149748,0.851861105569215,0.14802521953405,0.258420035165616
"ENSMUSG00000004872",30.6222382998928,-5.85127723047242,0.692249539725013,1.13792324238165e-17,4.1586641765927e-16
"ENSMUSG00000041684",1063.67467536366,-0.225036936822528,0.12028821507608,0.0577393516906385,0.121394170728072
"ENSMUSG00000032908",28.1220579223886,-0.596441775228942,0.419906925545552,0.0911946915381313,0.175910156781925
"ENSMUSG00000026502",2374.22813459495,-0.133938224494712,0.20561755127447,0.493120286612512,0.632048167299502
"ENSMUSG00000104126",5.62283802268419,0.278431227298501,0.628520579942649,0.461772402377378,0.603237925124842
"ENSMUSG00000026500",9.01883182878864,0.204964800519558,0.589117237137468,0.589267441802476,0.712232027035386
"ENSMUSG00000026048",1200.79638872558,1.27786885526812,0.248908844874911,6.93261332424775e-08,6.09802998726422e-07
"ENSMUSG00000101567",3.4625649116134,0.0627839727886845,0.647738557249724,0.854348736709324,0.90682313128648
"ENSMUSG00000026245",3381.75807256433,-0.408597866018252,0.137282572951806,0.00240475734264747,0.00800722085222531
"ENSMUSG00000104018",5.61658137717884,-0.64279873784161,0.767474031670962,0.141499799005119,0.249767053867583
"ENSMUSG00000026482",1644.25750006438,-0.960671710923176,0.204436379097921,1.08297576218209e-06,7.62655920458931e-06
"ENSMUSG00000080950",2.08448520263567,-0.391180072908185,0.800187207255458,0.233687014926744,0.366963004907382
"ENSMUSG00000008475",3602.98766763938,-0.768982148787626,0.118293567681808,4.49507071464441e-11,6.46097236645264e-10
"ENSMUSG00000056870",112.993635439142,-1.96797547289092,0.276449973627875,1.44684204987839e-13,3.0618266703066e-12
"ENSMUSG00000039630",13317.0857984499,-0.906380286968938,0.166548865797777,2.54829984878614e-08,2.42307570237067e-07
"ENSMUSG00000104279",3.88963631195077,0.22875236087005,0.695887922651082,0.481197191793961,0.621389896660622
"ENSMUSG00000026495",50.1318205947105,-1.12970477888289,0.365025463683605,0.000635105982021674,0.00246102104115867
"ENSMUSG00000032883",3164.03167081722,-0.72352156327158,0.156793292767342,2.27870549542793e-06,1.50818007184008e-05
"ENSMUSG00000026480",4.41924215870063,-0.357371920552843,0.700181655933372,0.347609293607494,0.491730844555226
"ENSMUSG00000026494",3.08426116752955,-0.4536993700066,0.788293028725149,0.210290221989259,0.339074461220001
"ENSMUSG00000025915",192.49265725336,-1.87685267489761,0.27009106302489,6.5647908690871e-13,1.2484390526968e-11
"ENSMUSG00000079470",465.362119011972,-0.528145159701549,0.22863405424056,0.0150810257284295,0.0395646285464692
"ENSMUSG00000099377",6.53469885194848,-0.0610448137021498,0.560176769434043,0.867581593960635,0.915922644204179
"ENSMUSG00000047330",1.50063457349261,0.0266333946667518,0.714625259019008,0.929796425271508,0.954933011895055
"ENSMUSG00000072978",7.17556592651728,0.445033113408627,0.641881500804992,0.271775106494199,0.410691937859132
"ENSMUSG00000046334",1.21922287855614,-0.0654943486942962,0.723045490354633,0.697611654542772,NA
"ENSMUSG00000050711",7.5713142223202,-0.0897248320268175,0.53336140706898,0.800910847270227,0.872038370183241
"ENSMUSG00000055067",940.582307419447,0.744600974196469,0.2494735550044,0.00150088148701585,0.00528123301543054
"ENSMUSG00000054702",259.081822128927,-0.440549759256725,0.200749692370329,0.022283784652878,0.0551686440499031
"ENSMUSG00000096474",101.634024425095,-0.014469077751643,0.209229134516242,0.948323878622733,0.966726403388205
"ENSMUSG00000026492",1113.05232666994,0.339502915775746,0.112440420809779,0.00226505821985384,0.00760350374313236
"ENSMUSG00000082395",2.2763017920087,-0.427222491475499,0.793071396646932,0.233422872200781,0.36668522362467
"ENSMUSG00000038949",630.535302983962,-0.436942447489257,0.149139793871632,0.00275215944211834,0.00900698933447668
"ENSMUSG00000026043",1.56571396979202,-0.20704633683113,0.748358007129766,0.388015816318123,0.532056402225712
"ENSMUSG00000046101",1.83945065972884,-0.122840485825395,0.690602620385311,0.678466470904798,0.783165328361064
